borough,ats code,location_name,grade_level,bldg_id,bldg_name,address,room_nuber,sqft,room_function,shared_with_other_schools,Insidevoutside,space_used,_location,_latitude,_longitude
Manhattan,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,333 EAST 4 STREET,GYM.,3243,GYMNASIUM,TRUE,Inside,FALSE,"333 EAST 4 STREET, Manhattan, New York, NY, USA",40.721882,-73.978712
Manhattan,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,333 EAST 4 STREET,OUTDOOR YARD 1,11700,OUTDOOR YARD,FALSE,Outside,FALSE,"333 EAST 4 STREET, Manhattan, New York, NY, USA",40.721882,-73.978712
Manhattan,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,185 1 AVENUE,GYM,3942,GYMNASIUM,TRUE,Inside,FALSE,"185 1 AVENUE, Manhattan, New York, NY, USA",40.72989,-73.98423
Manhattan,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,185 1 AVENUE,OUTDOOR YARD 1,25000,OUTDOOR YARD,FALSE,Outside,FALSE,"185 1 AVENUE, Manhattan, New York, NY, USA",40.72989,-73.98423
Manhattan,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,122/24S,1080,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"166 ESSEX STREET, Manhattan, New York, NY, USA",40.721276,-73.986316
Manhattan,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,346,625,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE,"166 ESSEX STREET, Manhattan, New York, NY, USA",40.721276,-73.986316
Manhattan,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,GYM,4000,GYMNASIUM,FALSE,Inside,FALSE,"166 ESSEX STREET, Manhattan, New York, NY, USA",40.721276,-73.986316
Manhattan,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,OUTDOOR YARD 1,2000,OUTDOOR YARD,FALSE,Outside,FALSE,"166 ESSEX STREET, Manhattan, New York, NY, USA",40.721276,-73.986316
Manhattan,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,114,728,DANCE ROOM,FALSE,Inside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,417,1500,GYMNASIUM,TRUE,Inside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,GYMB,1740,GYMNASIUM,TRUE,Inside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,OUTDOOR YARD 1,6500,OUTDOOR YARD,TRUE,Outside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,OUTDOOR YARD 2,4000,OUTDOOR YARD,TRUE,Outside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,224,1650,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602
Manhattan,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,B53,6336,GYMNASIUM,TRUE,Inside,FALSE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602
Manhattan,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,OUTDOOR YARD 1,17214,OUTDOOR YARD,TRUE,Outside,FALSE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602
Manhattan,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,OUTDOOR YARD 2,16535,OUTDOOR YARD,TRUE,Outside,FALSE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602
Manhattan,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - MANHATTAN,285 DELANCY STREET,GYM,3367,GYMNASIUM,FALSE,Inside,FALSE,"285 DELANCY STREET, Manhattan, New York, NY, USA",40.715416,-73.979994
Manhattan,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - MANHATTAN,285 DELANCY STREET,OUTDOOR YARD 1,2000,OUTDOOR YARD,FALSE,Outside,FALSE,"285 DELANCY STREET, Manhattan, New York, NY, USA",40.715416,-73.979994
Manhattan,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,293 EAST BROADWAY,140,920,DANCE ROOM,FALSE,Inside,FALSE,"293 EAST BROADWAY, Manhattan, New York, NY, USA",40.714328,-73.982978
Manhattan,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,293 EAST BROADWAY,140A,528,DANCE ROOM,FALSE,Inside,FALSE,"293 EAST BROADWAY, Manhattan, New York, NY, USA",40.714328,-73.982978
Manhattan,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,293 EAST BROADWAY,140A,528,DANCE ROOM,FALSE,Inside,FALSE,"293 EAST BROADWAY, Manhattan, New York, NY, USA",40.714328,-73.982978
Manhattan,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,140,3000,GYMNASIUM,TRUE,Inside,FALSE,"100 ATTORNEY STREET, Manhattan, New York, NY, USA",40.718226,-73.984085
Manhattan,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,219,880,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"100 ATTORNEY STREET, Manhattan, New York, NY, USA",40.718226,-73.984085
Manhattan,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,OUTDOOR YARD 1,27400,OUTDOOR YARD,TRUE,Outside,FALSE,"100 ATTORNEY STREET, Manhattan, New York, NY, USA",40.718226,-73.984085
Manhattan,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,OUTDOOR YARD 2,7800,OUTDOOR YARD,TRUE,Outside,FALSE,"100 ATTORNEY STREET, Manhattan, New York, NY, USA",40.718226,-73.984085
Manhattan,01M315,The East Village Community School,Elementary,M061,P.S. 61 - MANHATTAN,610 EAST 12 STREET,412,728,AUXILIARY EXERCISE ROOM,FALSE,Inside,FALSE,"610 EAST 12 STREET, Manhattan, New York, NY, USA",40.72763,-73.978427
Manhattan,01M315,The East Village Community School,Elementary,M061,P.S. 61 - MANHATTAN,610 EAST 12 STREET,OUTDOOR YARD 1,10375,OUTDOOR YARD,TRUE,Outside,FALSE,"610 EAST 12 STREET, Manhattan, New York, NY, USA",40.72763,-73.978427
Manhattan,01M361,The Children's Workshop School,Elementary,M061,P.S. 61 - MANHATTAN,610 EAST 12 STREET,OUTDOOR YARD 1,10375,OUTDOOR YARD,TRUE,Outside,FALSE,"610 EAST 12 STREET, Manhattan, New York, NY, USA",40.72763,-73.978427
Manhattan,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,417,1500,GYMNASIUM,TRUE,Inside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,GYMB,1740,GYMNASIUM,TRUE,Inside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,OUTDOOR YARD 1,6500,OUTDOOR YARD,TRUE,Outside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,OUTDOOR YARD 2,4000,OUTDOOR YARD,TRUE,Outside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313
Manhattan,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,B53,6336,GYMNASIUM,TRUE,Inside,FALSE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602
Manhattan,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,OUTDOOR YARD 1,17214,OUTDOOR YARD,TRUE,Outside,FALSE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602
Manhattan,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,OUTDOOR YARD 2,16535,OUTDOOR YARD,TRUE,Outside,FALSE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602
Manhattan,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,505,525,ADAPTIVE PHYSICAL EDUCATION,FALSE,Inside,FALSE,"8 HENRY STREET, Manhattan, New York, NY, USA",40.712556,-73.997478
Manhattan,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,GR FL,5472,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"8 HENRY STREET, Manhattan, New York, NY, USA",40.712556,-73.997478
Manhattan,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,GR FL,5472,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"8 HENRY STREET, Manhattan, New York, NY, USA",40.712556,-73.997478
Manhattan,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,GYM.,3819,GYMNASIUM,FALSE,Inside,FALSE,"122 HENRY STREET, Manhattan, New York, NY, USA",40.712938,-73.991958
Manhattan,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,OUTDOOR YARD 1,33842,OUTDOOR YARD,FALSE,Outside,FALSE,"122 HENRY STREET, Manhattan, New York, NY, USA",40.712938,-73.991958
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,402,945,DANCE ROOM,FALSE,Inside,FALSE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,402,945,DANCE ROOM,FALSE,Inside,FALSE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,506A,276,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,506A,276,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,OUTDOOR YARD 1,8000,OUTDOOR YARD,FALSE,Outside,FALSE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975
Manhattan,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,GYM,3710,GYMNASIUM,FALSE,Inside,FALSE,"45 EAST 81 STREET, Manhattan, New York, NY, USA",40.777702,-73.960731
Manhattan,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,OUTDOOR YARD 1,16000,OUTDOOR YARD,FALSE,Outside,FALSE,"45 EAST 81 STREET, Manhattan, New York, NY, USA",40.777702,-73.960731
Manhattan,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,OUTDOOR YARD 2,3800,OUTDOOR YARD,FALSE,Outside,FALSE,"45 EAST 81 STREET, Manhattan, New York, NY, USA",40.777702,-73.960731
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,520,1232,GYMNASIUM,FALSE,Inside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,OUTDOOR YARD 1,18000,OUTDOOR YARD,FALSE,Outside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,OUTDOOR YARD 2,10500,OUTDOOR YARD,FALSE,Outside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,POOL,4674,SWIMMING POOL,FALSE,Inside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,POOL,4674,SWIMMING POOL,FALSE,Inside,FALSE,"320 WEST 21 STREET, Manhattan, New York, NY, USA",40.744053,-74.000741
Manhattan,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,108,3504,GYMNASIUM,TRUE,Inside,FALSE,"281 9 AVENUE, Manhattan, New York, NY, USA",40.748943,-74.00037
Manhattan,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,OUTDOOR YARD 1,8500,OUTDOOR YARD,FALSE,Outside,FALSE,"281 9 AVENUE, Manhattan, New York, NY, USA",40.748943,-74.00037
Manhattan,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,OUTDOOR YARD 2,3195,OUTDOOR YARD,FALSE,Outside,FALSE,"281 9 AVENUE, Manhattan, New York, NY, USA",40.748943,-74.00037
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,1ST FL,4503,GYMNASIUM,TRUE,Inside,FALSE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,202A,175,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,202A,175,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,3 FL,2652,GYMNASIUM,TRUE,Inside,FALSE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,OUTDOOR YARD 1,7424,OUTDOOR YARD,TRUE,Outside,FALSE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,OUTDOOR YARD 2,4816,OUTDOOR YARD,TRUE,Outside,FALSE,"320 EAST 20 STREET, Manhattan, New York, NY, USA",40.735509,-73.981548
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,232,675,DANCE ROOM,FALSE,Inside,FALSE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,234,675,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,GYM,3850,GYMNASIUM,FALSE,Inside,FALSE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,OUTDOOR YARD 1,18560,OUTDOOR YARD,FALSE,Outside,FALSE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,OUTDOOR YARD 2,2700,OUTDOOR YARD,FALSE,Outside,FALSE,"116 WEST 11 STREET, Manhattan, New York, NY, USA",40.735528,-73.999259
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,505,700,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,510,1742,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,511,2496,GYMNASIUM,FALSE,Inside,FALSE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,511,2496,GYMNASIUM,FALSE,Inside,FALSE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,OUTDOOR YARD 1,7800,OUTDOOR YARD,FALSE,Outside,FALSE,"71 HESTER STREET, Manhattan, New York, NY, USA",40.716133,-73.990985
Manhattan,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,320,4895,GYMNASIUM,FALSE,Inside,FALSE,"525 WEST 44 STREET, Manhattan, New York, NY, USA",40.761594,-73.995528
