Borough,Geographical  District,Admin District,ats_code,LocationName,Grade Level,Bldg ID,Bldg Name,Address,Ownership,Room Number,sqft,Room Function,Shared with other schools?,Insidevoutside,Space used for any other purpose beside PE
Manhattan,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,333 EAST 4 STREET,DOE Owned,GYM.,3243,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,333 EAST 4 STREET,DOE Owned,OUTDOOR YARD 1,11700,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,185 1 AVENUE,DOE Owned,GYM,3942,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,185 1 AVENUE,DOE Owned,OUTDOOR YARD 1,25000,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,DOE Owned,122/24S,1080,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,DOE Owned,346,625,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE
Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,DOE Owned,GYM,4000,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,DOE Owned,OUTDOOR YARD 1,2000,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,114,728,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,417,1500,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,GYMB,1740,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,OUTDOOR YARD 1,6500,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,OUTDOOR YARD 2,4000,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,224,1650,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,B53,6336,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,OUTDOOR YARD 1,17214,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,OUTDOOR YARD 2,16535,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - MANHATTAN,285 DELANCY STREET,DOE Owned,GYM,3367,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - MANHATTAN,285 DELANCY STREET,DOE Owned,OUTDOOR YARD 1,2000,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,293 EAST BROADWAY,DOE Owned,140,920,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,293 EAST BROADWAY,DOE Owned,140A,528,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,293 EAST BROADWAY,DOE Owned,140A,528,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,DOE Owned,140,3000,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,DOE Owned,219,880,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,DOE Owned,OUTDOOR YARD 1,27400,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,DOE Owned,OUTDOOR YARD 2,7800,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M315,The East Village Community School,Elementary,M061,P.S. 61 - MANHATTAN,610 EAST 12 STREET,DOE Owned,412,728,AUXILIARY EXERCISE ROOM,FALSE,Inside,FALSE
Manhattan,1,1,01M315,The East Village Community School,Elementary,M061,P.S. 61 - MANHATTAN,610 EAST 12 STREET,DOE Owned,OUTDOOR YARD 1,10375,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M361,The Children's Workshop School,Elementary,M061,P.S. 61 - MANHATTAN,610 EAST 12 STREET,DOE Owned,OUTDOOR YARD 1,10375,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,417,1500,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,GYMB,1740,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,OUTDOOR YARD 1,6500,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,OUTDOOR YARD 2,4000,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,B53,6336,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,OUTDOOR YARD 1,17214,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,OUTDOOR YARD 2,16535,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,DOE Owned,505,525,ADAPTIVE PHYSICAL EDUCATION,FALSE,Inside,FALSE
Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,DOE Owned,GR FL,5472,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,DOE Owned,GR FL,5472,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,DOE Owned,GYM.,3819,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,DOE Owned,OUTDOOR YARD 1,33842,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,402,945,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,402,945,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,506A,276,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,506A,276,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,OUTDOOR YARD 1,8000,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,DOE Owned,GYM,3710,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,DOE Owned,OUTDOOR YARD 1,16000,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,DOE Owned,OUTDOOR YARD 2,3800,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,520,1232,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,OUTDOOR YARD 1,18000,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,OUTDOOR YARD 2,10500,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,POOL,4674,SWIMMING POOL,FALSE,Inside,FALSE
Manhattan,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - MANHATTAN,320 WEST 21 STREET,DOE Owned,POOL,4674,SWIMMING POOL,FALSE,Inside,FALSE
Manhattan,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,DOE Owned,108,3504,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,DOE Owned,OUTDOOR YARD 1,8500,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - MANHATTAN,281 9 AVENUE,DOE Owned,OUTDOOR YARD 2,3195,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,1ST FL,4503,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,202A,175,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,202A,175,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,3 FL,2652,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,OUTDOOR YARD 1,7424,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - MANHATTAN,320 EAST 20TH STREET,DOE Owned,OUTDOOR YARD 2,4816,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,232,675,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,234,675,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,GYM,3850,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,OUTDOOR YARD 1,18560,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - MANHATTAN,116 WEST 11 STREET,DOE Owned,OUTDOOR YARD 2,2700,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,505,700,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,510,1742,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,511,2496,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,511,2496,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - MANHATTAN,71 HESTER STREET,DOE Owned,OUTDOOR YARD 1,7800,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,DOE Owned,320,4895,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,DOE Owned,320,4895,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,DOE Owned,OUTDOOR YARD 1,5684,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,DOE Owned,OUTDOOR YARD 2,2025,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 ELIAS HOWE - MANHATTAN,525 WEST 44TH STREET,DOE Owned,OUTDOOR YARD 3,2597,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,231-249 EAST 56 STREET,DOE Owned,108,720,MULTI-PURPOSE NON CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,231-249 EAST 56 STREET,DOE Owned,502,3280,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,231-249 EAST 56 STREET,DOE Owned,L223,2793,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,231-249 EAST 56 STREET,DOE Owned,OUTDOOR YARD 1,6675,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,MIDTOWN EAST CAMPUS - MANHATTAN,231-249 EAST 56 STREET,DOE Owned,OUTDOOR YARD 2,4757,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,DOE Owned,GYM,3630,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - MANHATTAN,1700 3 AVENUE,DOE Owned,OUTDOOR YARD 1,2940,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,DOE Owned,127,688,DANCE ROOM,FALSE,Inside,FALSE
Manhattan,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,DOE Owned,315,4845,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,201 WARREN STREET,DOE Owned,OUTDOOR YARD 1,10000,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,DOE Owned,GYM,3816,GYMNASIUM,TRUE,Inside,FALSE
Manhattan,2,2,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,DOE Owned,OUTDOOR YARD 1,32000,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M111,P.S. 111 Adolph S. Ochs,Elementary,M111,P.S. 111 - MANHATTAN,440 WEST 53 STREET,DOE Owned,OUTDOOR YARD 2,7500,OUTDOOR YARD,TRUE,Outside,FALSE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,208,550,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,GYM,4293,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,GYM,4293,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,OUTDOOR YARD 1,1200,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - MANHATTAN,210 EAST 33 STREET,DOE Owned,OUTDOOR YARD 2,7150,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,104,594,MULTI-PURPOSE ROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,207,2842,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,207,2842,GYMNASIUM,FALSE,Inside,FALSE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,212,630,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,OUTDOOR YARD 1,11800,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (ECF) - MANHATTAN,40 DIVISION STREET,DOE Owned,OUTDOOR YARD 2,7500,OUTDOOR YARD,FALSE,Outside,FALSE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,308,560,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
Manhattan,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - MANHATTAN,143 BAXTER STREET,DOE Owned,308,560,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE
